case_number,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
17,parachute,701,0.4724155366420746,alp,970,0.005319816991686821,valley,979,0.003784613450989127,mountain bike,671,0.0020094008650630713,lakeside,975,0.0018010090570896864
18,parachute,701,0.4790324866771698,flagpole,557,0.002505360171198845,seashore,978,0.0013823871267959476,umbrella,879,0.0012765582650899887,nematode,111,0.001231496687978506
19,parachute,701,0.4918873906135559,balloon,417,0.002471631858497858,toucan,96,0.0021731979213654995,ski,795,0.0021201882045716047,flagpole,557,0.002093312330543995
20,parachute,701,0.5019997358322144,alp,970,0.0025602986570447683,water snake,58,0.002279021078720689,valley,979,0.002259330591186881,balloon,417,0.0022519552148878574
21,parachute,701,0.44387122988700867,sulphur butterfly,325,0.00926656648516655,sock,806,0.006798289250582457,bow tie,457,0.004355230834335089,flagpole,557,0.003737602848559618
22,parachute,701,0.7668165564537048,umbrella,879,0.0023367719259113073,balloon,417,0.0022734098602086306,airship,405,0.0022029078099876642,alp,970,0.0018621276831254363
23,parachute,701,0.42084038257598877,balloon,417,0.009600699879229069,flagpole,557,0.006494505796581507,lorikeet,90,0.004963267594575882,macaw,88,0.0024896874092519283
24,parachute,701,0.35394570231437683,sleeping bag,797,0.001867741928435862,coucal,91,0.001723204622976482,balloon,417,0.0016059657791629434,umbrella,879,0.0014779733028262854
25,parachute,701,0.4745108187198639,flagpole,557,0.004570376593619585,nematode,111,0.001641127048060298,plastic bag,728,0.001355172018520534,red wine,966,0.0013130030129104853
26,parachute,701,0.4757501184940338,balloon,417,0.006116388365626335,spoonbill,129,0.0027288144920021296,flagpole,557,0.0018640825292095542,airship,405,0.001608803402632475
27,parachute,701,0.4946235716342926,balloon,417,0.005822423379868269,valley,979,0.003719634609296918,lakeside,975,0.0021626241505146027,seashore,978,0.001811195514164865
28,parachute,701,0.4545964300632477,tabby,281,0.0017081834375858307,chimpanzee,367,0.0015728757716715336,Egyptian cat,285,0.0015120249008759856,snowmobile,802,0.0014716042205691338
29,parachute,701,0.4865686595439911,balloon,417,0.0017209865618497133,starfish,327,0.0013568700524047017,mitten,658,0.0011537178652361035,swimming trunks,842,0.0010340306907892227
30,parachute,701,0.510231614112854,balloon,417,0.010009260848164558,umbrella,879,0.0019425046630203724,sulphur butterfly,325,0.0015849143965169787,bib,443,0.001552613452076912
31,parachute,701,0.40312403440475464,knot,616,0.0024996402207762003,bonnet,452,0.0019117060583084822,diaper,529,0.001645931275561452,sleeping bag,797,0.0015108013758435845
32,parachute,701,0.5185699462890625,balloon,417,0.004740881267935038,nematode,111,0.0044680507853627205,stinkhorn,994,0.003525286680087447,coil,506,0.002222626004368067
33,parachute,701,0.478167861700058,pick,714,0.0029739411547780037,lorikeet,90,0.0028879856690764427,ladybug,301,0.0017997140530496836,seashore,978,0.001493082265369594
34,parachute,701,0.4994332194328308,valley,979,0.0034171801526099443,water snake,58,0.0017709187231957912,lakeside,975,0.0016949856653809547,seashore,978,0.0014083042042329907
35,parachute,701,0.45385420322418213,balloon,417,0.0035482558887451887,affenpinscher,252,0.001476875739172101,umbrella,879,0.0013538060011342168,seashore,978,0.001348715159110725
36,parachute,701,0.3395886719226837,valley,979,0.0035313686821609735,seashore,978,0.0019424085039645433,lakeside,975,0.0019365007756277919,pick,714,0.0016253006178885698
37,parachute,701,0.6002841591835022,balloon,417,0.0010489958804100752,seashore,978,0.000978901982307434,steel arch bridge,821,0.0008491819025948644,airship,405,0.0007422575145028532
38,parachute,701,0.48488447070121765,balloon,417,0.0013330024667084217,ski,795,0.0009990675607696176,airship,405,0.0009499889565631747,pug,254,0.0009440889698453248
39,parachute,701,0.42580533027648926,coil,506,0.0026779717300087214,balloon,417,0.0019305346067994833,stinkhorn,994,0.0019271323690190911,knot,616,0.0018399570835754275
40,parachute,701,0.3874902129173279,nematode,111,0.0070320721715688705,spoonbill,129,0.006786806508898735,coil,506,0.0047404104843735695,balloon,417,0.004470888525247574
41,parachute,701,0.4686684310436249,macaw,88,0.01111933309584856,balloon,417,0.007097573485225439,flagpole,557,0.006252473685890436,umbrella,879,0.0032446100376546383
42,parachute,701,0.6657628417015076,flagpole,557,0.005496277008205652,balloon,417,0.0033564057666808367,seashore,978,0.00174827896989882,mountain bike,671,0.001605793135240674
43,parachute,701,0.5562756061553955,flagpole,557,0.00192995835095644,necklace,679,0.0017250684322789311,coil,506,0.0015936406562104821,crash helmet,518,0.0014632012462243438
44,parachute,701,0.35625389218330383,balloon,417,0.019056448712944984,macaw,88,0.009331030771136284,lorikeet,90,0.004880361724644899,necklace,679,0.004452316090464592
45,parachute,701,0.4929163455963135,ski,795,0.0022197519429028034,seashore,978,0.0014068316668272018,alp,970,0.001199077581986785,coil,506,0.001149042509496212
46,parachute,701,0.5825480818748474,flagpole,557,0.0028761643916368484,knot,616,0.0021568918600678444,balloon,417,0.0017804194940254092,swing,843,0.0014913028571754694
47,parachute,701,0.5651969909667969,balloon,417,0.0020347670651972294,ski,795,0.001979431603103876,velvet,885,0.0017906686989590526,nematode,111,0.0015937468269839883
48,parachute,701,0.3980845510959625,umbrella,879,0.0018928328063338995,balloon,417,0.001326188095845282,Irish wolfhound,170,0.0012399147963151336,chimpanzee,367,0.0012393149081617594
49,parachute,701,0.39328208565711975,balloon,417,0.0025469320826232433,ski,795,0.001482801977545023,crash helmet,518,0.0014497119700536132,umbrella,879,0.001281067612580955
50,parachute,701,0.6188645362854004,balloon,417,0.008857307955622673,coil,506,0.005736205726861954,knot,616,0.004174941685050726,flagpole,557,0.0027003937866538763
51,parachute,701,0.5321587324142456,balloon,417,0.013259731233119965,flagpole,557,0.009882482700049877,umbrella,879,0.003122617257758975,bib,443,0.002069859066978097
52,parachute,701,0.5709428787231445,flagpole,557,0.0016781390877440572,snowmobile,802,0.0016619592206552625,lifeboat,625,0.001465163310058415,pick,714,0.001289060339331627
53,parachute,701,0.44077634811401367,flagpole,557,0.004538461100310087,balloon,417,0.0016511183930560946,hamster,333,0.0014203413156792521,Norwich terrier,186,0.0013724688906222582
54,parachute,701,0.44115033745765686,coil,506,0.011256074532866478,knot,616,0.007961479015648365,balloon,417,0.004128775559365749,hook,600,0.002605231711640954
55,parachute,701,0.45273104310035706,ski,795,0.008103843778371811,crash helmet,518,0.00619092071428895,knot,616,0.004740482661873102,knee pad,615,0.004568145610392094
56,parachute,701,0.49922651052474976,balloon,417,0.0158864576369524,knot,616,0.008869577199220657,water snake,58,0.0024517392739653587,sleeping bag,797,0.002399489749222994
57,parachute,701,0.3584500253200531,balloon,417,0.004266125615686178,spoonbill,129,0.002887464128434658,sleeping bag,797,0.002031567972153425,flagpole,557,0.0018588206730782986
58,parachute,701,0.5164836645126343,Brabancon griffon,262,0.001479063997976482,affenpinscher,252,0.0014592319494113326,wombat,106,0.0013219011016190052,Border terrier,182,0.0013170941965654492
59,parachute,701,0.40477514266967773,balloon,417,0.0013712961226701736,flagpole,557,0.0013209974858909845,panpipe,699,0.0012961928732693195,umbrella,879,0.001291533000767231
60,parachute,701,0.6463190913200378,balloon,417,0.001186273992061615,umbrella,879,0.0011847048299387097,seashore,978,0.000892094278242439,stretcher,830,0.0008268801029771566
61,parachute,701,0.4478260278701782,coil,506,0.007967917248606682,nematode,111,0.0033097448758780956,seashore,978,0.0016816313145682216,balloon,417,0.001223276136443019
62,parachute,701,0.6554868221282959,valley,979,0.0015854380326345563,alp,970,0.0010600794339552522,seashore,978,0.0009224238456226885,lakeside,975,0.0008800385985523462
63,parachute,701,0.6685869097709656,valley,979,0.009318499825894833,alp,970,0.006670310162007809,balloon,417,0.003902127966284752,mountain bike,671,0.0030543184839189053
64,parachute,701,0.4367213249206543,stinkhorn,994,0.003213704563677311,starfish,327,0.0030419330578297377,balloon,417,0.002134767360985279,nematode,111,0.0019708878826349974
65,parachute,701,0.42608535289764404,umbrella,879,0.007363575045019388,macaw,88,0.0030992040410637856,balloon,417,0.002932195784524083,flagpole,557,0.002919234335422516
66,parachute,701,0.4255138337612152,balloon,417,0.009141216985881329,macaw,88,0.0026129272300750017,flagpole,557,0.0018957137363031507,African grey,87,0.0015825338196009398
67,parachute,701,0.5840127468109131,valley,979,0.025364374741911888,alp,970,0.021646173670887947,cliff,972,0.006220981944352388,balloon,417,0.0046179755590856075
68,parachute,701,0.38355064392089844,seashore,978,0.0024011670611798763,sulphur butterfly,325,0.0014887680299580097,umbrella,879,0.0014307439560070634,bib,443,0.0014256853610277176
69,parachute,701,0.6263646483421326,balloon,417,0.005628807470202446,pick,714,0.0021176410373300314,flagpole,557,0.0018196526216343045,airship,405,0.0010247344616800547
70,parachute,701,0.3257221281528473,balloon,417,0.004046041518449783,lorikeet,90,0.003747254842892289,bib,443,0.002250473480671644,Band Aid,419,0.0016922351205721498
71,parachute,701,0.6039766073226929,balloon,417,0.0038550239987671375,alp,970,0.0033259906340390444,valley,979,0.0026111279148608446,lakeside,975,0.002195463515818119
72,parachute,701,0.5771209597587585,nematode,111,0.002984157996252179,coil,506,0.0027389242313802242,balloon,417,0.001629384234547615,centipede,79,0.0013297918485477567
73,parachute,701,0.7331064939498901,crash helmet,518,0.000825895054731518,nematode,111,0.0008125349995680153,baseball,429,0.000786394055467099,ski,795,0.0007411363767459989
74,parachute,701,0.48857927322387695,umbrella,879,0.007150350138545036,balloon,417,0.007085712160915136,macaw,88,0.004366273991763592,quill,749,0.002561799017712474
75,parachute,701,0.6042702794075012,seashore,978,0.002840025583282113,flagpole,557,0.002074558986350894,valley,979,0.0020298296585679054,alp,970,0.001679582055658102
76,parachute,701,0.4302801787853241,balloon,417,0.007647320162504911,coil,506,0.002392802620306611,hip,989,0.001707458752207458,chimpanzee,367,0.0015581039479002357
77,parachute,701,0.3178652226924896,balloon,417,0.02616376057267189,ladybug,301,0.003957130014896393,umbrella,879,0.0026430741418153048,airship,405,0.0020159990526735783
78,parachute,701,0.6871452331542969,bib,443,0.0050250086933374405,dishrag,533,0.003874410642310977,ladybug,301,0.001976126804947853,balloon,417,0.001916468725539744
79,parachute,701,0.34672948718070984,nematode,111,0.003444983856752515,coil,506,0.002760885050520301,bib,443,0.002229156205430627,sulphur butterfly,325,0.0019361436134204268
80,parachute,701,0.38443031907081604,affenpinscher,252,0.0019650044851005077,stinkhorn,994,0.0019101109355688095,balloon,417,0.0018911543302237988,crash helmet,518,0.0018879197305068374
81,parachute,701,0.5857125520706177,alp,970,0.00497767049819231,water snake,58,0.002643583109602332,valley,979,0.002321859123185277,warplane,895,0.0019836444407701492
82,parachute,701,0.3628537356853485,valley,979,0.00449514202773571,stole,824,0.0022767563350498676,steel arch bridge,821,0.00214573135599494,balloon,417,0.0017996374517679214
83,parachute,701,0.45111292600631714,balloon,417,0.0026263243053108454,snowmobile,802,0.0021631179843097925,crash helmet,518,0.0016413219273090363,ski,795,0.001411767560057342
84,parachute,701,0.46277543902397156,wing,908,0.0015263252425938845,baseball,429,0.0013618773082271218,ski,795,0.0012881323928013444,seashore,978,0.0011936660157516599
85,parachute,701,0.3450861871242523,nematode,111,0.0017562407301738858,balloon,417,0.0017312831478193402,Irish terrier,184,0.0016941992798820138,Chesapeake Bay retriever,209,0.0016913344152271748
86,parachute,701,0.47962063550949097,flagpole,557,0.004954101517796516,coil,506,0.0015505305491387844,Brabancon griffon,262,0.0014169433852657676,seashore,978,0.0013891543494537473
87,parachute,701,0.5007469654083252,ski,795,0.0022681744303554296,bib,443,0.001272746711038053,Brabancon griffon,262,0.001196809927932918,wing,908,0.0011927717132493854
88,parachute,701,0.3804730176925659,balloon,417,0.0034389328211545944,coil,506,0.0020546051673591137,stinkhorn,994,0.001869515748694539,mountain bike,671,0.00184875656850636
89,parachute,701,0.40759363770484924,Irish wolfhound,170,0.0016502252547070384,Border terrier,182,0.00160779501311481,seashore,978,0.0015397941460832953,coil,506,0.001489788992330432
90,parachute,701,0.40573355555534363,valley,979,0.0028547015972435474,seashore,978,0.001958489418029785,lakeside,975,0.0019127725390717387,alp,970,0.001493968884460628
91,parachute,701,0.5028127431869507,balloon,417,0.003459635889157653,seashore,978,0.0016374863917008042,nematode,111,0.0010914560407400131,Border terrier,182,0.0010603502159938216
92,parachute,701,0.33504045009613037,flagpole,557,0.006597175262868404,bib,443,0.006112019997090101,umbrella,879,0.006026800721883774,diaper,529,0.004581757355481386
93,parachute,701,0.4291172921657562,balloon,417,0.0036523244343698025,wing,908,0.0023450693115592003,ski,795,0.0021248417906463146,seashore,978,0.0014916554791852832
94,parachute,701,0.30634504556655884,sulphur butterfly,325,0.0016792919486761093,balloon,417,0.0016370982630178332,seashore,978,0.0015926540363579988,broom,462,0.001454885583370924
95,parachute,701,0.5926826000213623,Brabancon griffon,262,0.0015206242678686976,whistle,902,0.0015098998555913568,hook,600,0.0014772660797461867,nematode,111,0.001294058165512979
96,parachute,701,0.18049205839633942,balloon,417,0.06568825989961624,knot,616,0.021740742027759552,airship,405,0.00833310279995203,coil,506,0.00793513935059309
97,parachute,701,0.47286781668663025,balloon,417,0.003948796074837446,flagpole,557,0.002457803813740611,necklace,679,0.002091067610308528,pole,733,0.0017100496916100383
98,parachute,701,0.5075429081916809,alp,970,0.001817949116230011,warplane,895,0.001778304111212492,steel arch bridge,821,0.001753664924763143,nematode,111,0.001453618984669447
99,parachute,701,0.32415205240249634,balloon,417,0.0019975360482931137,flagpole,557,0.0018233535811305046,seashore,978,0.0013387330109253526,sleeping bag,797,0.0013111334992572665
100,parachute,701,0.31269294023513794,sock,806,0.0019785412587225437,sulphur butterfly,325,0.0018244670936837792,balloon,417,0.00170717213768512,wool,911,0.0014107226161286235
101,parachute,701,0.5731605291366577,ski,795,0.0017298912862315774,ant,310,0.0015186776872724295,balloon,417,0.001483140978962183,alp,970,0.001231794129125774
102,parachute,701,0.33839529752731323,macaw,88,0.005318949930369854,hip,989,0.0028520533815026283,ski,795,0.002561232540756464,balloon,417,0.002426709746941924
103,parachute,701,0.36980703473091125,bib,443,0.003039613366127014,neck brace,678,0.0020595346577465534,sock,806,0.0017064017010852695,nematode,111,0.0015997891314327717
104,parachute,701,0.4987117052078247,ladybug,301,0.0030573864933103323,bib,443,0.00219481042586267,stinkhorn,994,0.002125824335962534,starfish,327,0.0020649724174290895
105,parachute,701,0.4197879731655121,Brabancon griffon,262,0.0013883182546123862,hamster,333,0.0013575709890574217,affenpinscher,252,0.0012825471349060535,tabby,281,0.0012455644318833947
106,parachute,701,0.40982356667518616,flagpole,557,0.002327876864001155,balloon,417,0.002240555128082633,chimpanzee,367,0.0012194538721814752,Irish wolfhound,170,0.0012120092287659645
107,parachute,701,0.34794026613235474,dishrag,533,0.0016979373758658767,affenpinscher,252,0.001463644439354539,Brabancon griffon,262,0.0013730489881709218,Irish wolfhound,170,0.001351426704786718
108,parachute,701,0.4827239513397217,hip,989,0.001359975547529757,ladybug,301,0.0013572655152529478,ski,795,0.0012674583122134209,seashore,978,0.0011862363899126649
109,parachute,701,0.16366995871067047,flamingo,130,0.03447975590825081,stinkhorn,994,0.019014496356248856,coil,506,0.014027882367372513,lorikeet,90,0.005900021642446518
110,parachute,701,0.25654834508895874,balloon,417,0.02197073958814144,macaw,88,0.012129686772823334,coil,506,0.005531287286430597,nematode,111,0.0043510086834430695
111,parachute,701,0.5169247388839722,toucan,96,0.0013023476349189878,seashore,978,0.0011017888318747282,balloon,417,0.0010669587645679712,Brabancon griffon,262,0.0009118731250055134
112,parachute,701,0.40391284227371216,balloon,417,0.01984495297074318,spoonbill,129,0.005346058867871761,ski,795,0.003614748129621148,unicycle,880,0.003237789496779442
113,parachute,701,0.5925208926200867,valley,979,0.007975638844072819,alp,970,0.004233097657561302,cliff,972,0.0029926723800599575,lakeside,975,0.0018606794765219092
114,parachute,701,0.5134533047676086,crash helmet,518,0.0038968930020928383,snowmobile,802,0.0026822714135050774,ski,795,0.0025136261247098446,bib,443,0.002278161235153675
115,parachute,701,0.43826234340667725,balloon,417,0.0027319183573126793,seashore,978,0.0022304351441562176,coil,506,0.0020079065579921007,bib,443,0.001433845958672464
116,parachute,701,0.506653368473053,alp,970,0.0036655934527516365,valley,979,0.002884539542719722,cliff,972,0.0020405263639986515,seashore,978,0.0020391177386045456
117,parachute,701,0.5602643489837646,coil,506,0.0015464163152500987,necklace,679,0.0011799436761066318,chain,488,0.0011627698550000787,baseball,429,0.001154712401330471
118,parachute,701,0.3598242700099945,bib,443,0.006264772731810808,wool,911,0.003879362950101495,nematode,111,0.0035038383211940527,balloon,417,0.0034250051248818636
119,parachute,701,0.6030886769294739,coil,506,0.0014563135337084532,balloon,417,0.001316144480369985,African grey,87,0.0009761537658050656,crash helmet,518,0.0009696958586573601
120,parachute,701,0.5607325434684753,coil,506,0.003599652787670493,ski,795,0.002844480564817786,maypole,645,0.002279020380228758,balloon,417,0.0022288737818598747
121,parachute,701,0.41633668541908264,balloon,417,0.006594967562705278,airship,405,0.001613831496797502,seashore,978,0.0012851092033088207,African grey,87,0.0012176252203062177
122,parachute,701,0.4152182638645172,Siamese cat,284,0.00152146618347615,jigsaw puzzle,611,0.0013017681194469333,pug,254,0.0012926444178447127,Brabancon griffon,262,0.001289430889301002
123,parachute,701,0.4665510356426239,balloon,417,0.0064251357689499855,seashore,978,0.00270918314345181,bib,443,0.002074622083455324,alp,970,0.0015357849188148975
124,parachute,701,0.48965364694595337,flagpole,557,0.0014974742662161589,hamster,333,0.0014202911406755447,seashore,978,0.0013492463622242212,plastic bag,728,0.0012948433868587017
125,parachute,701,0.6582078337669373,seashore,978,0.0010770328808575869,Irish wolfhound,170,0.0008138496777974069,balloon,417,0.0007779391016811132,Norwich terrier,186,0.0007149545708671212
126,parachute,701,0.4695420265197754,balloon,417,0.0015423728618770838,seashore,978,0.0014354514423757792,mitten,658,0.000999108306132257,panpipe,699,0.000993406749330461
127,parachute,701,0.5587993264198303,flagpole,557,0.0018956487765535712,plastic bag,728,0.0018719939980655909,umbrella,879,0.0016482181381434202,ski,795,0.0012199421180412173
128,parachute,701,0.5867863297462463,macaw,88,0.002799263456836343,ski,795,0.0018488974310457706,flagpole,557,0.0016804622719064355,balloon,417,0.001659117522649467
129,parachute,701,0.42676055431365967,balloon,417,0.003517836332321167,seashore,978,0.0013798311119899154,umbrella,879,0.0011834573233500123,flagpole,557,0.001175028388388455
130,parachute,701,0.569555401802063,lorikeet,90,0.0020785918459296227,sleeping bag,797,0.0015855035744607449,sock,806,0.0014024750562384725,mitten,658,0.0013824260095134377
131,parachute,701,0.37926796078681946,cock,7,0.0017803669907152653,balloon,417,0.001533209695480764,flagpole,557,0.0013178675435483456,seashore,978,0.001299093710258603
132,parachute,701,0.41011521220207214,ski,795,0.0026173130609095097,umbrella,879,0.0020432642195373774,steel arch bridge,821,0.0015185873489826918,Norwich terrier,186,0.0014289036625996232
133,parachute,701,0.42866799235343933,balloon,417,0.0017773666186258197,snorkel,801,0.0015152082778513432,sock,806,0.0013698275433853269,Chesapeake Bay retriever,209,0.00135765690356493
134,parachute,701,0.49962276220321655,black swan,100,0.001231146976351738,coil,506,0.0010359084699302912,plastic bag,728,0.001021563308313489,tabby,281,0.0010076696053147316
135,parachute,701,0.4988175630569458,balloon,417,0.13183031976222992,valley,979,0.0024259912315756083,catamaran,484,0.0019506916869431734,wing,908,0.0016733099473640323
136,parachute,701,0.6168328523635864,ski,795,0.0022716207895427942,crash helmet,518,0.0013379525626078248,baseball,429,0.001131221535615623,alp,970,0.0010464738588780165
137,parachute,701,0.34973135590553284,ski,795,0.0024657482281327248,anemone fish,393,0.0016097608022391796,snowmobile,802,0.001347582321614027,coral reef,973,0.0013064361410215497
138,parachute,701,0.497955322265625,balloon,417,0.004437875468283892,spoonbill,129,0.0035173511132597923,sulphur butterfly,325,0.0030342447571456432,umbrella,879,0.002756711794063449
139,parachute,701,0.7760756015777588,nematode,111,0.0009679190698079765,slug,114,0.0008974987431429327,umbrella,879,0.0008828784339129925,baseball,429,0.0008463343256153166
140,parachute,701,0.17951779067516327,coil,506,0.026654042303562164,balloon,417,0.012533786706626415,stinkhorn,994,0.009865322150290012,macaw,88,0.008798740804195404
141,parachute,701,0.6347013711929321,balloon,417,0.002301771892234683,umbrella,879,0.0022439206950366497,flagpole,557,0.002180781215429306,sulphur butterfly,325,0.001702604815363884
142,parachute,701,0.5585157871246338,umbrella,879,0.00322564784437418,unicycle,880,0.0030187214724719524,soccer ball,805,0.0015453686937689781,swing,843,0.001169881084933877
143,parachute,701,0.35204339027404785,sulphur butterfly,325,0.006907832808792591,coil,506,0.005767143797129393,hummingbird,94,0.004345816560089588,balloon,417,0.0037812795490026474
144,parachute,701,0.4778207242488861,Irish wolfhound,170,0.0015065177576616406,balloon,417,0.0012451710645109415,nematode,111,0.0011819995706900954,starfish,327,0.0011184763861820102
145,parachute,701,0.41829222440719604,affenpinscher,252,0.001897070906125009,Brabancon griffon,262,0.0016538043273612857,Irish wolfhound,170,0.0014674904523417354,llama,355,0.0014386564726009965
146,parachute,701,0.4568568468093872,warplane,895,0.0017227748176082969,balloon,417,0.001689483062364161,alp,970,0.0014611596707254648,nematode,111,0.001404270646162331
147,parachute,701,0.5153920650482178,balloon,417,0.0016577745554968715,seashore,978,0.0012321948306635022,baseball,429,0.0010139824589714408,airship,405,0.0009405112359672785
148,parachute,701,0.4763390123844147,balloon,417,0.0011760967317968607,bib,443,0.001079294946976006,mitten,658,0.001050538383424282,seashore,978,0.0010300315916538239
149,parachute,701,0.5034798383712769,bib,443,0.002797134220600128,balloon,417,0.001831350615248084,seashore,978,0.0012218940537422895,ant,310,0.0012009524507448077
150,parachute,701,0.5605489015579224,flagpole,557,0.0011593130184337497,snowmobile,802,0.0011095942463725805,Irish wolfhound,170,0.0011075357906520367,bib,443,0.0010711284121498466
151,parachute,701,0.6266372799873352,balloon,417,0.015277200378477573,airship,405,0.0012641169596463442,alp,970,0.001238227472640574,valley,979,0.0012070705415681005
152,parachute,701,0.575273871421814,wing,908,0.005235944874584675,warplane,895,0.0019631986506283283,umbrella,879,0.0014666446950286627,horizontal bar,602,0.0013765039620921016
153,parachute,701,0.2453894168138504,balloon,417,0.005439227446913719,ski,795,0.0025369999930262566,umbrella,879,0.0020480069797486067,baseball,429,0.001818717923015356
154,parachute,701,0.39917248487472534,flamingo,130,0.004027414135634899,bib,443,0.0028795916587114334,nematode,111,0.002650914015248418,balloon,417,0.0022240951657295227
155,parachute,701,0.4037904739379883,balloon,417,0.035719968378543854,macaw,88,0.0217145849019289,lorikeet,90,0.011525987647473812,umbrella,879,0.008990051224827766
156,parachute,701,0.5393416881561279,quill,749,0.023693226277828217,balloon,417,0.0013697842368856072,steel arch bridge,821,0.000977368326857686,ski,795,0.0009346151491627097
157,parachute,701,0.4515003263950348,balloon,417,0.01252828910946846,pick,714,0.0019288442563265562,African grey,87,0.0013018979225307703,bib,443,0.0012974092969670892
158,parachute,701,0.3465951085090637,umbrella,879,0.0017508824821561575,quill,749,0.0015037753619253635,hamster,333,0.0014594445237889886,jellyfish,107,0.0014414122560992837
159,parachute,701,0.7669923901557922,wing,908,0.001414384227246046,lifeboat,625,0.0010286425240337849,ski,795,0.0009105614735744894,warplane,895,0.0007298768032342196
160,parachute,701,0.5787791609764099,black swan,100,0.002769073471426964,hatchet,596,0.001627235091291368,balloon,417,0.0013182174880057573,bib,443,0.001231495407409966
161,parachute,701,0.268274188041687,knot,616,0.014117604121565819,starfish,327,0.008158857002854347,coil,506,0.005045047961175442,maypole,645,0.0048469011671841145
162,parachute,701,0.5805966854095459,coil,506,0.0026055672205984592,seashore,978,0.001602666568942368,nematode,111,0.0012707927962765098,steel arch bridge,821,0.0010324178729206324
163,parachute,701,0.17699562013149261,balloon,417,0.010570649057626724,mitten,658,0.005178625695407391,lorikeet,90,0.004904705565422773,ant,310,0.003850212087854743
164,parachute,701,0.4415237307548523,balloon,417,0.008019382134079933,ladybug,301,0.0018325552809983492,soccer ball,805,0.0018114271806553006,umbrella,879,0.001716892933472991
165,parachute,701,0.5798941850662231,balloon,417,0.003510523121803999,ski,795,0.0016649783356115222,airship,405,0.0015561816981062293,coil,506,0.001266149221919477
166,parachute,701,0.34163612127304077,seashore,978,0.0021397063974291086,plastic bag,728,0.002115747192874551,hip,989,0.0017169445054605603,sulphur butterfly,325,0.0016304858727380633
167,parachute,701,0.5135518312454224,valley,979,0.0040275114588439465,balloon,417,0.003840962192043662,cliff,972,0.0015394678339362144,ibex,350,0.0014818202471360564
168,parachute,701,0.3685454726219177,lorikeet,90,0.0029734664130955935,crash helmet,518,0.001691092038527131,mountain bike,671,0.0016133005265146494,bicycle-built-for-two,444,0.001367318443953991
169,parachute,701,0.4386688470840454,Irish wolfhound,170,0.0017306447261944413,flagpole,557,0.0016606982098892331,Border terrier,182,0.0015619284240528941,pug,254,0.001504863379523158
